Maquina,Start,End,Producto,Demanda,task_mode,paso,delta,Activity
MAQ118,1,23,ROK ELASTIC,1,Harden[2] TM1,0,22,MAQ118|ROK ELASTIC|1|Harden[2] TM1|0
MAQ120,1,9,GORGORÃO RIBBON,5,Ironing TM1,0,8,MAQ120|GORGORÃO RIBBON|5|Ironing TM1|0
MAQ119,2,17,TAFFETA EMBLEM,2,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|2|Harden[1] TM1|0
MAQ120,11,19,ELASTIC W/ INSCR,1,Ironing TM1,0,8,MAQ120|ELASTIC W/ INSCR|1|Ironing TM1|0
MAQ119,18,26,SMOOTH STRAP(A),1,Ironing TM3,0,8,MAQ119|SMOOTH STRAP(A)|1|Ironing TM3|0
MAQ120,21,29,GORGORÃO RIBBON W/ INSCR,2,Ironing TM1,0,8,MAQ120|GORGORÃO RIBBON W/ INSCR|2|Ironing TM1|0
MAQ118,25,36,GORGORÃO RIBBON W/ INSCR,1,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON W/ INSCR|1|Ironing TM4|0
MAQ119,27,35,SMOOTH STRAP(A),0,Ironing TM3,0,8,MAQ119|SMOOTH STRAP(A)|0|Ironing TM3|0
MAQ120,31,37,ELASTIC W/ INSCR,1,Anti-Shrinkage TM2,1,6,MAQ120|ELASTIC W/ INSCR|1|Anti-Shrinkage TM2|1
MAQ119,36,51,TAFFETA EMBLEM,0,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|0|Harden[1] TM1|0
MAQ118,37,48,GORGORÃO RIBBON,3,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON|3|Ironing TM4|0
MAQ120,38,46,ESTORE RIBBON,5,Ironing TM1,0,8,MAQ120|ESTORE RIBBON|5|Ironing TM1|0
MAQ120,48,56,GORGORÃO RIBBON,1,Ironing TM1,0,8,MAQ120|GORGORÃO RIBBON|1|Ironing TM1|0
MAQ118,49,60,WOVEN LABEL OURELA FABRIC,0,Ironing TM4,0,11,MAQ118|WOVEN LABEL OURELA FABRIC|0|Ironing TM4|0
MAQ119,52,60,WOVEN LABEL OURELA CUT,1,Ironing TM3,0,8,MAQ119|WOVEN LABEL OURELA CUT|1|Ironing TM3|0
MAQ120,57,65,GORGORÃO RIBBON W/ INSCR,0,Ironing TM1,0,8,MAQ120|GORGORÃO RIBBON W/ INSCR|0|Ironing TM1|0
MAQ118,61,72,GORGORÃO RIBBON,11,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON|11|Ironing TM4|0
MAQ119,62,70,WOVEN LABEL OURELA CUT,1,Ironing TM3,1,8,MAQ119|WOVEN LABEL OURELA CUT|1|Ironing TM3|1
MAQ120,66,72,BRAIDED ELASTIC,6,Anti-Shrinkage TM2,0,6,MAQ120|BRAIDED ELASTIC|6|Anti-Shrinkage TM2|0
MAQ119,71,79,WOVEN LABEL OURELA CUT,2,Ironing TM3,0,8,MAQ119|WOVEN LABEL OURELA CUT|2|Ironing TM3|0
MAQ120,73,81,WOVEN LABEL OURELA FABRIC,5,Ironing TM1,0,8,MAQ120|WOVEN LABEL OURELA FABRIC|5|Ironing TM1|0
MAQ118,77,81,SMOOTH ELASTIC(A),1,Harden[0.5] TM4,0,4,MAQ118|SMOOTH ELASTIC(A)|1|Harden[0.5] TM4|0
MAQ119,80,91,SMOOTH ELASTIC(A),3,Harden[0.5] TM1,0,11,MAQ119|SMOOTH ELASTIC(A)|3|Harden[0.5] TM1|0
MAQ120,82,90,WOVEN LABEL OURELA FABRIC,1,Ironing TM1,0,8,MAQ120|WOVEN LABEL OURELA FABRIC|1|Ironing TM1|0
MAQ118,82,86,SMOOTH ELASTIC(A),0,Harden[0.5] TM4,0,4,MAQ118|SMOOTH ELASTIC(A)|0|Harden[0.5] TM4|0
MAQ118,89,100,ESTORE RIBBON,2,Ironing TM4,0,11,MAQ118|ESTORE RIBBON|2|Ironing TM4|0
MAQ120,91,99,WOVEN LABEL OURELA CUT,1,Ironing TM1,2,8,MAQ120|WOVEN LABEL OURELA CUT|1|Ironing TM1|2
MAQ119,92,100,GORGORÃO RIBBON,4,Ironing TM3,0,8,MAQ119|GORGORÃO RIBBON|4|Ironing TM3|0
MAQ120,100,103,PRINTED RIBBON,14,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|14|Sublimation TM3|0
MAQ118,101,123,ROK ELASTIC,2,Harden[2] TM1,0,22,MAQ118|ROK ELASTIC|2|Harden[2] TM1|0
MAQ119,101,109,GORGORÃO RIBBON,10,Ironing TM3,0,8,MAQ119|GORGORÃO RIBBON|10|Ironing TM3|0
MAQ120,105,113,GORGORÃO RIBBON,8,Ironing TM1,0,8,MAQ120|GORGORÃO RIBBON|8|Ironing TM1|0
MAQ119,111,135,ROK ELASTIC,1,Harden[1.5] TM1,1,24,MAQ119|ROK ELASTIC|1|Harden[1.5] TM1|1
MAQ120,116,124,WOVEN LABEL OURELA CUT,2,Ironing TM1,1,8,MAQ120|WOVEN LABEL OURELA CUT|2|Ironing TM1|1
MAQ118,124,135,WOVEN LABEL OURELA CUT,0,Ironing TM4,0,11,MAQ118|WOVEN LABEL OURELA CUT|0|Ironing TM4|0
MAQ120,125,133,GORGORÃO RIBBON,6,Ironing TM1,0,8,MAQ120|GORGORÃO RIBBON|6|Ironing TM1|0
MAQ120,134,140,ELASTIC W/ INSCR,1,Anti-Shrinkage TM2,2,6,MAQ120|ELASTIC W/ INSCR|1|Anti-Shrinkage TM2|2
MAQ119,136,151,TAFFETA EMBLEM,3,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|3|Harden[1] TM1|0
MAQ118,136,140,SMOOTH ELASTIC(A),4,Harden[0.5] TM4,0,4,MAQ118|SMOOTH ELASTIC(A)|4|Harden[0.5] TM4|0
MAQ118,141,152,GORGORÃO RIBBON,0,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON|0|Ironing TM4|0
MAQ120,142,150,WOVEN LABEL OURELA CUT,0,Ironing TM1,1,8,MAQ120|WOVEN LABEL OURELA CUT|0|Ironing TM1|1
MAQ120,152,160,GORGORÃO RIBBON,7,Ironing TM1,0,8,MAQ120|GORGORÃO RIBBON|7|Ironing TM1|0
MAQ119,153,161,GORGORÃO RIBBON,2,Ironing TM3,0,8,MAQ119|GORGORÃO RIBBON|2|Ironing TM3|0
MAQ118,154,165,GORGORÃO RIBBON,9,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON|9|Ironing TM4|0
MAQ120,161,169,ESTORE RIBBON,2,Ironing TM1,1,8,MAQ120|ESTORE RIBBON|2|Ironing TM1|1
MAQ119,163,178,TAFFETA EMBLEM,7,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|7|Harden[1] TM1|0
MAQ118,167,171,WOVEN LABEL OURELA CUT,1,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA CUT|1|Harden[0.5] TM4|3
MAQ120,170,178,WOVEN LABEL OURELA FABRIC,3,Ironing TM1,0,8,MAQ120|WOVEN LABEL OURELA FABRIC|3|Ironing TM1|0
MAQ118,172,183,WOVEN LABEL OURELA CUT,2,Ironing TM4,2,11,MAQ118|WOVEN LABEL OURELA CUT|2|Ironing TM4|2
MAQ120,179,185,BRAIDED ELASTIC,0,Anti-Shrinkage TM2,0,6,MAQ120|BRAIDED ELASTIC|0|Anti-Shrinkage TM2|0
MAQ119,179,187,ELASTIC W/ INSCR,0,Ironing TM3,0,8,MAQ119|ELASTIC W/ INSCR|0|Ironing TM3|0
MAQ118,185,189,WOVEN LABEL OURELA CUT,2,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA CUT|2|Harden[0.5] TM4|3
MAQ120,186,189,PRINTED RIBBON,12,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|12|Sublimation TM3|0
MAQ119,193,208,TAFFETA EMBLEM,5,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|5|Harden[1] TM1|0
MAQ120,193,196,PRINTED RIBBON  PES,4,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON  PES|4|Sublimation TM3|0
MAQ118,193,201,STRAP W/ STRIPES,3,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|3|Harden[1] TM5|0
MAQ120,197,200,PRINTED RIBBON  PES,2,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON  PES|2|Sublimation TM3|0
MAQ120,201,209,WOVEN LABEL OURELA FABRIC,8,Ironing TM1,0,8,MAQ120|WOVEN LABEL OURELA FABRIC|8|Ironing TM1|0
MAQ118,202,206,ELASTIC W/ INSCR,1,Harden[0.5] TM4,3,4,MAQ118|ELASTIC W/ INSCR|1|Harden[0.5] TM4|3
MAQ118,209,220,ESTORE RIBBON,0,Ironing TM4,0,11,MAQ118|ESTORE RIBBON|0|Ironing TM4|0
MAQ119,210,225,WOVEN LABEL OURELA CUT,1,Harden[1] TM1,4,15,MAQ119|WOVEN LABEL OURELA CUT|1|Harden[1] TM1|4
MAQ120,210,218,GORGORÃO RIBBON W/ INSCR,4,Ironing TM1,0,8,MAQ120|GORGORÃO RIBBON W/ INSCR|4|Ironing TM1|0
MAQ120,220,223,PRINTED RIBBON,5,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|5|Sublimation TM3|0
MAQ118,221,232,WOVEN LABEL OURELA CUT,0,Ironing TM4,2,11,MAQ118|WOVEN LABEL OURELA CUT|0|Ironing TM4|2
MAQ120,225,228,PRINTED RIBBON  PES,1,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON  PES|1|Sublimation TM3|0
MAQ119,226,237,SMOOTH ELASTIC(A),2,Harden[0.5] TM1,0,11,MAQ119|SMOOTH ELASTIC(A)|2|Harden[0.5] TM1|0
MAQ120,229,237,WOVEN LABEL OURELA FABRIC,6,Ironing TM1,0,8,MAQ120|WOVEN LABEL OURELA FABRIC|6|Ironing TM1|0
MAQ118,234,245,GORGORÃO RIBBON W/ INSCR,3,Ironing TM4,0,11,MAQ118|GORGORÃO RIBBON W/ INSCR|3|Ironing TM4|0
MAQ119,238,262,ROK ELASTIC,2,Harden[1.5] TM1,1,24,MAQ119|ROK ELASTIC|2|Harden[1.5] TM1|1
MAQ120,238,246,ESTORE RIBBON,0,Ironing TM1,1,8,MAQ120|ESTORE RIBBON|0|Ironing TM1|1
MAQ118,246,254,STRAP W/ STRIPES,0,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|0|Harden[1] TM5|0
MAQ120,247,253,BRAIDED ELASTIC,1,Anti-Shrinkage TM2,0,6,MAQ120|BRAIDED ELASTIC|1|Anti-Shrinkage TM2|0
MAQ120,254,262,WOVEN LABEL OURELA CUT,3,Ironing TM1,0,8,MAQ120|WOVEN LABEL OURELA CUT|3|Ironing TM1|0
MAQ118,256,264,WOVEN LABEL OURELA FABRIC,6,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|6|Harden[1] TM5|1
